Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Market_Cap,Isin,Institutional_Context,Sector,RD_Intensity,Firm_Size_Ln,ROA,Leverage,Market_Cap_EUR
USD,USA,35,35201010,1602,AMGEN INC,31162100,91839.0,3657.0,57222.0,33424.0,6158.0,536.9,260.64,4090.0,139937.61599999998,US0311621009,1,Healthcare,0.18423887027285782,11.42779232299237,0.044534457038948594,0.6628883154215529,135207.72457919997
USD,USA,35,35203010,2220,BIO-RAD LABORATORIES INC,90572207,9364.1,42.9,1331.8,2566.5,295.9,28.011,328.51,-1844.2,9201.89361,US0905722072,1,Healthcare,0.1152932008571985,9.144638507750704,-0.19694364647964033,0.14680535235633962,8890.869605982
USD,USA,35,35202010,2403,BRISTOL-MYERS SQUIBB CO,110122108,92603.0,2227.0,48973.0,48300.0,24532.0,2029.0,56.56,-8948.0,114760.24,US1101221083,1,Healthcare,0.5079089026915113,11.436076817517693,-0.09662753906460914,0.5528978542811788,110881.343888
USD,USA,35,35203010,3735,DANAHER CORP,235851102,77542.0,678.0,16468.0,23875.0,1584.0,719.1,229.55,3899.0,165069.40500000003,US2358511028,1,Healthcare,0.06634554973821989,11.258575004031307,0.05028242758762993,0.22111887751154213,159490.059111
USD,USA,35,35203010,4145,REVVITY INC,714046109,12392.478,23.824,3301.981,2755.026,196.844,120.646,111.61,270.385,13465.30006,US7140461093,1,Healthcare,0.0714490534753574,9.424844954625854,0.021818477305346032,0.26837287909649715,13010.172917971999
USD,USA,35,35203010,4418,ENZO BIOCHEM INC,294100102,85.764,0.917,2.592,31.907,2.642,52.244,1.14,-26.078,59.558159999999994,US2941001024,1,Healthcare,0.08280314664493685,4.451599338025842,-0.30406697448813025,0.04091460286367241,57.54509419199999
USD,USA,35,35201010,4632,LISATA THERAPEUTICS INC,128058302,35.002,0.137,0.0,1.0,11.334,8.409,2.98,-19.985,25.05882,US1280583022,1,Healthcare,11.334,3.5554052027139655,-0.5709673732929547,0.003914062053596937,24.211831884
USD,USA,35,35202010,6266,JOHNSON & JOHNSON,478160104,180104.0,5983.0,30651.0,88821.0,17443.0,2406.922,144.62,14066.0,348089.05964,US4781601046,1,Healthcare,0.19638373807995857,12.10128974080081,0.07809932039266201,0.20340469950695153,336323.649424168
USD,USA,35,35202010,6730,LILLY (ELI) & CO,532457108,78714.9,5292.8,29498.0,45042.7,14271.0,897.538,772.0,10590.0,692899.336,US5324571083,1,Healthcare,0.3168326943100658,11.273587743042027,0.13453615516249148,0.4419849355077629,669479.3384432
USD,USA,35,35202010,7257,MERCK & CO INC,58933Y105,117106.0,2931.0,35339.0,64168.0,17938.0,2527.637,99.48,17117.0,251449.32876000003,US58933Y1055,1,Healthcare,0.2795474379753148,11.670834786531072,0.1461667207487234,0.3267979437432753,242950.341447912
USD,USA,35,35203010,7275,MESA LABORATORIES INC,59064R109,433.348,104.57,89.282,240.978,19.518,5.455,118.66,-1.974,647.2903,US59064R1095,1,Healthcare,0.08099494559669347,6.071541100362596,-0.004555230438354394,0.44733562864026133,625.41188786
USD,USA,35,35202010,7637,VIATRIS INC,92556V106,41500.9,87.7,14218.2,14739.3,1014.1,1193.648,12.45,-634.2,14860.917599999999,US92556V1061,1,Healthcare,0.06880245330510948,10.633470392730624,-0.015281596302730785,0.34471300622396145,14358.618585119999
