Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Market_Cap,Isin,Institutional_Context,Sector,RD_Intensity,Firm_Size_Ln,ROA,Leverage,Market_Cap_EUR,CEO_Duality,Board_Independence,Avg_Tenure,Internationality_Ratio,Board_Size,Age_Diversity,Gender_Diversity,Board_Busyness,Avg_Qualifications
USD,USA,35,35201010,1602,AMGEN INC,31162100,91839.0,3657.0,57222.0,33424.0,6158.0,536.9,260.64,4090.0,139937.61599999998,US0311621009,1,Healthcare,0.1842388702728578,11.42779232299237,0.0445344570389485,0.6628883154215529,135207.72457919997,1,0.9166666666666666,7.441666666666666,0.0,12,4.2,0.33299999999999996,2.25,2.9166666666666665
USD,USA,35,35203010,2220,BIO-RAD LABORATORIES INC,90572207,9364.1,42.9,1331.8,2566.5,295.9,28.011,328.51,-1844.2,9201.89361,US0905722072,1,Healthcare,0.1152932008571985,9.144638507750704,-0.1969436464796403,0.1468053523563396,8890.869605982,1,0.8333333333333334,10.549999999999999,0.0,6,10.8,0.33299999999999996,1.6666666666666667,2.0
USD,USA,35,35202010,2403,BRISTOL-MYERS SQUIBB CO,110122108,92603.0,2227.0,48973.0,48300.0,24532.0,2029.0,56.56,-8948.0,114760.24,US1101221083,1,Healthcare,0.5079089026915113,11.436076817517693,-0.0966275390646091,0.5528978542811788,110881.343888,1,0.9090909090909091,4.5636363636363635,0.3,11,5.4,0.364,2.272727272727273,3.4545454545454546
USD,USA,35,35203010,3735,DANAHER CORP,235851102,77542.0,678.0,16468.0,23875.0,1584.0,719.1,229.55,3899.0,165069.40500000003,US2358511028,1,Healthcare,0.0663455497382198,11.258575004031307,0.0502824275876299,0.2211188775115421,159490.059111,0,0.75,16.566666666666666,0.0,12,9.9,0.25,2.25,2.25
USD,USA,35,35203010,4145,REVVITY INC,714046109,12392.478,23.824,3301.981,2755.026,196.844,120.646,111.61,270.385,13465.30006,US7140461093,1,Healthcare,0.0714490534753574,9.424844954625854,0.021818477305346,0.2683728790964971,13010.172917972,0,0.9,7.38,0.6,10,6.9,0.30000000000000004,2.4,2.5
USD,USA,35,35203010,4418,ENZO BIOCHEM INC,294100102,85.764,0.917,2.592,31.907,2.642,52.244,1.14,-26.078,59.55816,US2941001024,1,Healthcare,0.0828031466449368,4.451599338025842,-0.3040669744881302,0.0409146028636724,57.54509419199999,0,0.75,1.875,,4,4.0,0.5,2.0,2.25
USD,USA,35,35201010,4632,LISATA THERAPEUTICS INC,128058302,35.002,0.137,0.0,1.0,11.334,8.409,2.98,-19.985,25.05882,US1280583022,1,Healthcare,11.334,3.555405202713965,-0.5709673732929547,0.0039140620535969,24.211831884,0,0.8333333333333334,6.533333333333334,0.5,6,4.2,0.33299999999999996,2.0,3.0
USD,USA,35,35202010,6266,JOHNSON & JOHNSON,478160104,180104.0,5983.0,30651.0,88821.0,17443.0,2406.922,144.62,14066.0,348089.05964,US4781601046,1,Healthcare,0.1963837380799585,12.10128974080081,0.078099320392662,0.2034046995069515,336323.649424168,1,0.9166666666666666,5.908333333333334,0.4,12,4.4,0.5,2.25,3.8333333333333335
USD,USA,35,35202010,6730,LILLY (ELI) & CO,532457108,78714.9,5292.8,29498.0,45042.7,14271.0,897.538,772.0,10590.0,692899.336,US5324571083,1,Healthcare,0.3168326943100658,11.273587743042029,0.1345361551624914,0.4419849355077629,669479.3384432,1,0.9090909090909091,8.681818181818182,0.2,11,5.5,0.364,1.9090909090909092,2.272727272727273
USD,USA,35,35202010,7257,MERCK & CO INC,58933Y105,117106.0,2931.0,35339.0,64168.0,17938.0,2527.637,99.48,17117.0,251449.32876000003,US58933Y1055,1,Healthcare,0.2795474379753148,11.670834786531072,0.1461667207487234,0.3267979437432753,242950.341447912,1,0.9166666666666666,8.3,0.2,12,5.9,0.5,2.25,2.5
