Active,Curr,Loc,Gcis,Gcis_Sub,Comp_Id,Comp_Name,Isin,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Net_Income,Shares_Out,Fyear
A,EUR,NLD,45,45301010,1166,ASM INTERNATIONAL NV,NL0000334118,5161.92,11.672,23.589,2932.724,369.818,685.734,49.098,2024
A,JPY,JPN,45,45202030,2721,CANON INC,JP3242800005,5766246,360206,303294,4509821,337348,160028.21,943.9919,2024
A,SEK,SWE,45,45201020,4439,TELEFONAKTIEBOLAGET LM ERICS,SE0000108656,292374,8269,37267,247880,54994,20,3070.916,2024
A,JPY,JPN,45,45202030,4925,FUJIFILM HLDGS CORP,JP3814000000,5249908,246685,555600,3195828,163399,260720.372,1204.8338,2024
A,GBP,GBR,35,35202010,5180,GSK PLC,GB00BN7SWP63,59463,2349,14637,31376,6401,2575,4080.818,2024
A,JPY,JPN,45,45203015,6512,KYOCERA CORP,JP3249600002,4511307,69825,272557,2014454,116087,24103.233,1408.7481,2024
A,JPY,JPN,45,45102010,7652,NEC CORP,JP3733000008,4315368,286405,379954,3423431,99194,175189.56,1332.6993,2024
A,DKK,DNK,35,35202010,8020,NOVO NORDISK A/S,DK0062498333,465795,13113,89674,290403,48062,100988,3366,2024
A,JPY,JPN,45,45202030,9135,RICOH CO LTD,JP3973400009,2357118,170342,345875,2527876,95068,45708.644,569.1504,2024
A,ILS,ISR,45,45203030,9501,SUNY CELLULAR COMMUNICATION,IL0010823537,489.68,23.952,128.049,1057.419,,48.003,217.233,2024
A,JPY,JPN,45,45203015,10275,TDK CORPORATION,JP3538800008,3541415,199799,408601,2204806,253586,167158.473,1897.6348,2024
A,USD,ISR,35,35202010,14538,TEVA PHARMACEUTICALS,IL0006290147,39326,1868,16316,16544,1055,-1639,1133.839,2024
A,USD,SGP,45,45202030,25773,CREATIVE TECHNOLOGY LTD,SG1A98006814,80.064,1.237,0.825,62.779,9.691,-10.826,70.397,2024
A,JPY,JPN,45,45102010,18467,FUJITSU LTD,JP3818000006,3497808,146992,100100,3550116,101200,219804.908,1777.3405,2024
A,JPY,JPN,45,45203015,19157,OMRON CORP,JP3197800000,1361790,33179,151024,801753,44339,16269.913,196.8945,2024
A,JPY,JPN,45,45203015,19457,TAIYO YUDEN CO LTD,JP3452000007,573188,19702,144698,341438,15042,2328.149,124.7335,2024
A,JPY,JPN,45,45203010,23155,HOCHIKI CORP,JP3837400005,89655,318,955,100900,3523,7650.354,24.8684,2024
A,EUR,FIN,45,45201020,23671,NOKIA OYJ,FI0009000681,39149,1168,3582,19220,4512,1704,5373.149,2024
A,USD,CYM,45,45103010,37669,PERFECT CORP,KYG7006A1094,181.173,0.402,0.108,60.202,12,5.021,101.849,2024
I,USD,ISR,45,45103010,25367,MAGIC SOFTWARE ENTERPRISES,IL0010823123,540.331,28.005,58.147,552.52,13.31,36.883,49.099,2024
A,CHF,CHE,35,35202010,25648,ROCHE HOLDING AG,CH1499059983,101801,4257,32097,60495,15304,8277,688.71,2024
A,EUR,FRA,35,35201010,26174,GENSIGHT BIOLOGICS SA,FR0013183985,10.756,13.899,5.214,1.5,12.368,-14.001,128.146,2024
A,USD,GBR,35,35201010,28027,AMARIN CORPORATION PLC,GB00B29VL935,685.349,1.951,7.723,228.614,20.869,-82.183,411.585,2024
A,USD,ISR,45,45201020,28236,GILAT SATELLITE NETWORKS LTD,IL0010825102,429.748,2.557,6.014,305.448,40.597,24.849,57.017,2024
A,USD,GBR,35,35202010,28272,ASTRAZENECA PLC,GB0009895292,104035,2676,27619,54073,13669,7035,1550.546,2024
I,USD,CYM,45,45103010,28384,SAPIENS INTERNATIONAL CORP,KYG7T16G1039,691.711,26.236,37.511,542.379,72.426,72.179,55.887,2024
A,USD,ISR,45,45201020,30030,SILICOM LTD,IL0010826928,150.409,1.67,4.797,58.114,19.508,-13.708,5.766,2024
A,CNY,CYM,45,45103010,38743,QINIU LIMITED,KYG7309P1000,1202.3,208.995,14.378,1437.009,157.645,-459.367,1996.644,2024
A,USD,CHE,35,35202010,43362,SANDOZ GROUP AG,CH1243598427,19907,187,4666,10357,958,0,430.702,2024
A,USD,NLD,45,45301020,31142,STMICROELECTRONICS NV,NL0000226223,24743,1044,2123,13217,2217,1557,898.175,2024
A,USD,ISR,45,45301020,31255,TOWER SEMICONDUCTOR LTD,IL0010823792,3080.485,48.376,132.437,1436.122,79.434,207.864,111.55,2024
A,EUR,NLD,45,45301010,61214,ASML HOLDING NV,NL0010273215,48589.6,1078.9,3914.7,28262.9,4357.4,7571.6,393.284,2024
A,EUR,NLD,45,45301010,61814,BE SEMICONDUCTOR INDUSTRIES,NL0012866412,1234.476,6.706,538.003,607.473,74.305,181.992,79.312,2024
A,USD,ISR,45,45103010,61902,NICE LTD,IL0002730112,5295.906,471.345,92.258,2735.272,362.568,442.588,63.25,2024
A,TWD,TWN,45,45301020,62824,MACRONIX INTL CO LTD,TW0002337003,77876.354,4795.932,21380.741,25883.475,6730.413,-3213.56,1853.87,2024
A,EUR,FRA,45,45103010,63169,DASSAULT SYSTEMES SE,FR0014003TT8,15545.9,539.1,2523.1,6213.6,1336.2,1200.2,1312.809,2024
A,USD,ISR,45,45103020,63185,CHECK POINT SOFTWARE TECHN,IL0010824113,5754.5,8.8,21,2565,419.9,845.7,108.369,2024
A,USD,NLD,35,35203010,63186,QIAGEN NV,NL0015002SN0,5689.622,77.816,1434.725,1978.214,193.494,83.591,222.291,2024
A,USD,ISR,45,45103010,65460,RADCOM,IL0010826688,130.574,0.966,2.438,61.009,18.659,6.968,15.916,2024
A,EUR,DEU,35,35202010,100080,BAYER AG,DE000BAY0017,110850,5246,35498,46606,6387,-2552,982.424,2024
A,JPY,JPN,45,45203010,100159,AMANO CORP,JP3124400007,194338,7270,8057,175423,3049,17828.43,71.2846,2024
A,GBP,GBR,45,45203010,100174,HALMA PLC,GB0004052071,3258.6,58.7,790.3,2248.1,137.8,296.4,377.702,2024
A,JPY,JPN,45,45203015,100226,MURATA MANUFACTURING CO LTD,JP3914400001,3028194,10824,49169,1743352,149274,233769.45,1862.3611,2024
A,GBP,GBR,45,45103010,100229,CRIMSON TIDE PLC,GB00BRJRV969,6.702,0.212,0.17,7.985,0.944,-1.615,6.575,2024
A,JPY,JPN,35,35202010,100230,MOCHIDA PHARMACEUTICAL CO,JP3922800002,160121,0,0,105159,11676,5684.922,35.451,2024
A,JPY,JPN,45,45203015,100235,ALPS ALPINE CO LTD,JP3126400005,740715,44288,56499,990407,24346,37836.84,205.6535,2024
A,JPY,JPN,45,45301010,100245,ADVANTEST CORP,JP3122400009,854210,79998,13505,779707,71400,161173.852,733.719,2024
A,JPY,JPN,35,35202010,100290,ONO PHARMACEUTICAL CO LTD,JP3197600004,1064046,33178,113500,486871,150007,50045.789,469.773,2024
A,JPY,JPN,35,35202010,100336,DAIICHI SANKYO COMPANY LTD,JP3475350009,3456119,15113,140777,1886256,436000,295761.452,1866.6541,2024
A,JPY,JPN,45,45301010,100388,SCREEN HOLDINGS CO LTD,JP3494600004,671287,1983,2579,625269,31705,99466.594,95.6337,2024
I,USD,GBR,45,45201020,100401,SPIRENT COMMUNICATIONS,GB0004726096,614.2,7.6,12.7,460.2,99,12.9,576.246,2024
A,JPY,JPN,45,45203010,100410,CHINO CORP,JP3511000006,37765,1638,969,29329,1317,1991.401,8.5039,2024
A,JPY,JPN,35,35202010,100418,EISAI CO LTD,JP3160400002,1386547,87690,99832,789400,171633,46431.2,281.8882,2024
A,SGD,SGP,35,35202010,100425,HAW PAR CORP LTD,SG1D25001158,4277.008,36.766,0,244.824,,228.274,221.368,2024
A,JPY,JPN,45,45203010,100438,CITIZEN WATCH CO LTD,JP3352400000,415552,15180,53033,316885,5671,23875.941,243.8683,2024
A,JPY,JPN,35,35202010,100441,CHUGAI PHARMACEUTICAL CO LTD,JP3519400000,2208373,6365,4532,1170611,176900,387321.537,1645.5258,2024
A,JPY,JPN,45,45202030,100490,KONICA MINOLTA INC,JP3300600008,1217641,148219,289950,1127882,59600,-47483.801,494.8266,2024
A,GBP,GBR,45,45203010,100498,RENISHAW PLC,GB0007323586,1051.383,4.707,13.837,691.301,105.795,96.889,72.72,2024
A,GBP,GBR,45,45203010,100508,OXFORD INSTRUMENTS PLC,GB0006650450,604.8,13.7,27.2,500.6,49,26,58.135,2024
A,JPY,JPN,35,35202010,100516,KYOWA KIRIN CO LTD,JP3256000005,1067363,0,0,495558,103500,59868.504,523.3578,2024
A,JPY,JPN,45,45202030,100519,BROTHER INDUSTRIES LTD,JP3830000000,932650,9151,24106,876558,49464,48349.834,255.6721,2024
