Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,USA,35,35201010,1602,AMGEN INC,31162100,91839,3657,57222,33424,6158,536.9,260.64,4090,2024
A,USD,USA,35,35203010,2220,BIO-RAD LABORATORIES INC,90572207,9364.1,42.9,1331.8,2566.5,295.9,28.011,328.51,-1844.2,2024
A,USD,USA,35,35202010,2403,BRISTOL-MYERS SQUIBB CO,110122108,92603,2227,48973,48300,24532,2029,56.56,-8948,2024
A,USD,USA,35,35201010,2990,IMUNON INC,15117N701,9.717,0.452,0.687,0,11.639,14.501,0.95,-18.62,2024
A,USD,USA,35,35201010,3691,GT BIOPHARMA INC,36254L308,4.232,0,0,0,5.798,2.234,3.05,-13.162,2024
A,USD,USA,35,35203010,3735,DANAHER CORP,235851102,77542,678,16468,23875,1584,719.1,229.55,3899,2024
A,USD,USA,35,35203010,4145,REVVITY INC,714046109,12392.478,23.824,3301.981,2755.026,196.844,120.646,111.61,270.385,2024
A,USD,USA,35,35201010,4409,ENZON PHARMACEUTICALS -OLD,30499G935,47.169,0,0,0.026,0,74.215,0.1561,0.778,2024
I,USD,USA,35,35203010,4418,ENZO BIOCHEM INC,294100102,85.764,0.917,2.592,31.907,2.642,52.244,1.14,-26.078,2024
A,USD,USA,35,35201010,4632,LISATA THERAPEUTICS INC,128058302,35.002,0.137,0,1,11.334,8.409,2.98,-19.985,2024
A,USD,GBR,35,35202010,5180,GSK PLC,37733W204,74441.73,2940.713,18324.06,40079.578,8013.412,2040.409,33.82,3223.643,2024
A,USD,USA,35,35202010,6266,JOHNSON & JOHNSON,478160104,180104,5983,30651,88821,17443,2406.922,144.62,14066,2024
A,USD,USA,35,35202010,6730,LILLY (ELI) & CO,532457108,78714.9,5292.8,29498,45042.7,14271,897.538,772,10590,2024
A,USD,USA,35,35202010,7257,MERCK & CO INC,58933Y105,117106,2931,35339,64168,17938,2527.637,99.48,17117,2024
A,USD,USA,35,35203010,7275,MESA LABORATORIES INC,59064R109,433.348,104.57,89.282,240.978,19.518,5.455,118.66,-1.974,2024
A,USD,USA,35,35202010,7637,VIATRIS INC,92556V106,41500.9,87.7,14218.2,14739.3,1014.1,1193.648,12.45,-634.2,2024
A,USD,DNK,35,35202010,8020,NOVO NORDISK A/S,670100205,64661.327,1820.337,12448.48,40313.535,6671.932,4441,86.02,14019.081,2024
A,USD,USA,35,35202010,8530,PFIZER INC,717081103,213396,7302,59691,62856,12770,5667,26.53,8031,2024
A,USD,USA,35,35202010,9330,PROVECTUS BIOPHARMACEUTICALS,74373P108,1.006,3.184,0,0.617,1.99,420.28,0.1201,-4.733,2024
A,USD,USA,35,35203010,10530,THERMO FISHER SCIENTIFIC INC,883556102,97321,2475,30300,42879,1390,380.774,520.23,6335,2024
A,USD,USA,35,35203010,11376,WEST PHARMACEUTICAL SVSC INC,955306105,3643.4,18.8,286.5,2893.2,69.1,72.3,327.56,492.7,2024
A,USD,USA,35,35201010,11885,PROPANC BIOPHARMA INC,74346N701,0.072,0.89,0.058,0,0.248,478.802,0.00125,-1.821,2024
A,USD,USA,35,35203010,12181,REPLIGEN CORP,759916109,2829.666,15.104,671.143,634.439,43.2,56.092,143.94,-25.514,2024
A,USD,USA,35,35201010,12252,XOMA ROYALTY CORP,98419J206,221.277,11.84,107.358,28.487,2.875,11.952,26.28,-13.821,2024
